Intensity    Wavelength         Spectrum
   10          487.2272         ArII   
   15          490.6495         ArII   
   10          490.7013         ArII   
   10          519.3270         ArII   
   10          542.9124         ArII   
   70          543.2033         ArII   
   25          547.4606         ArII   
   25          556.8170         ArII   
   25          573.3619         ArII   
   10          576.7364         ArII   
   25          580.2632         ArII   
   10          583.4371         ArII   
   25          597.7001         ArII   
   10          602.8584         ArII   
   10          612.3716         ArII   
  150          661.8690         ArII   
   10          664.5623         ArII   
   70          666.0109         ArII   
  300          670.9455         ArII   
 1000          671.8513         ArII   
   25          676.2425         ArII   
   10          677.9518         ArII   
   10          679.2184         ArII   
   70          679.4006         ArII   
   70          718.0899         ArII   
 1000          723.3606         ArII   
  150          725.5485         ArII   
   25          730.9297         ArII   
   70          740.2692         ArII   
   70          744.9248         ArII   
   25          745.3223         ArII   
   20          802.85896        ArI    
  100          806.4710         ArI    
   60          806.86887        ArI    
   30          807.21842        ArI    
   40          807.6529         ArI    
   50          809.92660        ArI    
  120          816.23193        ArI    
   70          816.46391        ArI    
   80          820.12352        ArI    
  120          825.34592        ArI    
  120          826.36484        ArI    
  150          834.3918         ArI    
  100          835.00210        ArI    
  100          842.80506        ArI    
  180          866.79997        ArI    
  150          869.75411        ArI    
  180          876.05767        ArI    
  180          879.94656        ArI    
  150          894.31013        ArI    
  300          919.7810         ArII   
  300          932.0537         ArII   
 1000         1048.21987        ArI    
  500         1066.65980        ArI    
    2         2420.456          ArII   
    3         2516.789          ArII   
    3         2534.709          ArII   
    5         2562.087          ArII   
    8         2891.612          ArII   
   70         2942.893          ArII   
   30         2979.050          ArII   
   15         3033.508          ArII   
   15         3093.402          ArII   
    7         3243.689          ArII   
    8         3293.640          ArII   
    7         3307.228          ArII   
    8         3350.924          ArII   
    8         3376.436          ArII   
    8         3388.531          ArII   
   25         3476.747          ArII   
    7         3478.232          ArII   
   15         3491.244          ArII   
   30         3491.536          ArII   
   25         3509.778          ArII   
   25         3514.388          ArII   
   25         3545.596          ArII   
   25         3545.845          ArII   
   30         3559.508          ArII   
   30         3561.030          ArII   
   25         3576.616          ArII   
    8         3581.608          ArII   
   15         3582.355          ArII   
   25         3588.441          ArII   
    8         3622.138          ArII   
    7         3639.833          ArII   
   12         3718.206          ArII   
   25         3729.309          ArII   
   15         3737.889          ArII   
   50         3765.270          ArII   
   15         3766.119          ArII   
    1         3770.369          ArI    
    7         3770.520          ArII   
    8         3780.840          ArII   
    8         3803.172          ArII   
   15         3809.456          ArII   
   25         3850.581          ArII   
   12         3868.528          ArII   
   12         3925.719          ArII   
   15         3928.623          ArII   
    8         3932.547          ArII   
   25         3946.097          ArII   
    1         3948.979          ArI    
    7         3979.356          ArII   
   12         3994.792          ArII   
   15         4013.857          ArII   
   15         4033.809          ArII   
    7         4035.460          ArII   
   50         4042.894          ArII   
    1         4044.418          ArI    
   30         4052.921          ArII   
   70         4072.005          ArII   
   25         4072.385          ArII   
    8         4076.628          ArII   
   12         4079.574          ArII   
    8         4082.387          ArII   
   50         4103.912          ArII   
  100         4131.724          ArII   
   12         4156.086          ArII   
   11         4158.590          ArI    
    1         4164.180          ArI    
   12         4179.297          ArII   
    1         4181.884          ArI    
