Intensity     Wavelength         Spectrum 
   20           893.0847         HgII
   12           915.819          HgII
   20           942.630          HgII
   25           962.711          HgII
   25           969.142          HgII
   20          1039.6315         HgII
   20          1062.7802         HgII
 1000          1649.9373         HgII
 1000          1849.499          HgI 
 1000          1942.273          HgII
   15          1973.794          HgII
   10          1987.841          HgII
   20          2026.860          HgII
  400          2052.828          HgII
   20          2224.711          HgII
   10          2252.786          HgII
   60          2260.294          HgII
  400          2262.223          HgII
   10          2263.634          HgII
 1000          2536.517          HgI 
   25          2652.039          HgI 
   40          2653.679          HgI 
  400          2847.675          HgII
   30          2916.250          HgII
   25          2947.074          HgII
  250          2967.280          HgI 
   70          3021.498          HgI 
   90          3125.668          HgI 
   80          3131.548          HgI 
   80          3131.839          HgI 
   12          3208.169          HgII
   10          3532.594          HgII
   10          3605.762          HgII
  600          3650.153          HgI 
   70          3654.836          HgI 
   50          3663.279          HgI 
 1000          3983.931          HgII
  400          4046.563          HgI 
   60          4339.223          HgI 
  100          4347.494          HgI 
 1000          4358.328          HgI 
   12          5128.442          HgII
   15          5204.768          HgII
   80          5425.253          HgII
  500          5460.735          HgI 
  200          5677.105          HgII
   50          5769.598          HgI 
   60          5790.663          HgI 
   12          5871.279          HgII
   20          5888.939          HgII
   15          6146.435          HgII
  250          6149.475          HgII
   25          7081.90           HgI 
    6          7346.508          HgII
  250          7944.555          HgII
    6          9520.198          HgII
  200         10139.76           HgI 
   50         13570.21           HgI 
   40         13673.51           HgI 
   50         15295.82           HgI 
   50         17072.79           HgI 
   25         23253.07           HgI 
