Intensity      Wavelength        Spectrum
   20           729.40           KrII   
   70           761.18           KrII   
   30           763.98           KrII   
   20           766.20           KrII   
   70           771.03           KrII   
   20           773.69           KrII   
   70           782.10           KrII   
   30           783.72           KrII   
   20           818.15           KrII   
   20           830.38           KrII   
   30           844.06           KrII   
   20           864.82           KrII   
   20           868.87           KrII   
   70           884.14           KrII   
  300           886.30           KrII   
  130           891.01           KrII   
   70           911.39           KrII   
  700           917.43           KrII   
  100           945.4414         KrI    
   80           946.5443         KrI    
   30           951.056          KrI    
   80           953.4041         KrI    
   80           963.3745         KrI    
  700           964.97           KrII   
  150          1001.0606         KrI    
  150          1003.5504         KrI    
  150          1030.0232         KrI    
  300          1164.8671         KrI    
 1000          1235.8378         KrI    
   30          2464.77           KrII   
   20          2492.48           KrII   
   25          2712.40           KrII   
   30          2833.00           KrII   
   30          3607.88           KrII   
   70          3631.889          KrII   
   80          3653.928          KrII   
   13          3665.324          KrI    
   50          3669.01           KrII   
   15          3679.58           KrI    
   25          3686.182          KrII   
  100          3718.02           KrII   
   70          3718.595          KrII   
   50          3721.350          KrII   
   70          3741.638          KrII   
   50          3744.80           KrII   
   25          3754.245          KrII   
  150          3778.046          KrII   
  150          3783.095          KrII   
   50          3875.44           KrII   
   50          3906.177          KrII   
   70          3920.081          KrII   
   30          3994.840          KrII   
   30          3997.793          KrII   
  100          4057.037          KrII   
  100          4065.128          KrII   
  150          4088.337          KrII   
   80          4098.729          KrII   
   30          4109.248          KrII   
   80          4145.122          KrII   
   50          4250.580          KrII   
  150          4273.9694         KrI    
   15          4282.9674         KrI    
  200          4292.923          KrII   
   70          4300.49           KrII   
  150          4317.81           KrII   
   70          4318.5513         KrI    
  150          4319.5794         KrI    
   50          4322.98           KrII   
   15          4351.3597         KrI    
 1000          4355.477          KrII   
   80          4362.6416         KrI    
   70          4369.69           KrII   
  130          4376.1216         KrI    
  100          4386.54           KrII   
   30          4399.9663         KrI    
   15          4425.1901         KrI    
  150          4431.685          KrII   
  200          4436.812          KrII   
  100          4453.9175         KrI    
  130          4463.6900         KrI    
  250          4475.014          KrII   
  130          4489.88           KrII   
  100          4502.3543         KrI    
  130          4523.14           KrII   
   70          4556.61           KrII   
  250          4577.209          KrII   
  100          4582.978          KrII   
   50          4592.80           KrII   
  150          4615.292          KrII   
  300          4619.166          KrII   
  250          4633.885          KrII   
  700          4658.876          KrII   
  150          4680.406          KrII   
   30          4691.301          KrII   
   70          4694.360          KrII   
 1000          4739.002          KrII   
  100          4762.435          KrII   
  300          4765.744          KrII   
  100          4811.76           KrII   
  100          4825.18           KrII   
  250          4832.077          KrII   
  250          4846.612          KrII   
   50          4857.20           KrII   
  100          4945.59           KrII   
   70          5022.40           KrII   
   80          5086.52           KrII   
  130          5125.73           KrII   
  150          5208.32           KrII   
   70          5308.66           KrII   
  150          5333.41           KrII   
   70          5468.17           KrII   
   80          5562.2253         KrI    
  300          5570.2894         KrI    
   13          5580.3873         KrI    
   15          5649.5618         KrI    
  130          5681.89           KrII   
   70          5690.35           KrII   
   15          5832.8566         KrI    
  500          5870.9160         KrI    
   70          5992.22           KrII   
   10          5993.8502         KrI    
   10          6056.1263         KrI    
  100          6420.18           KrII   
   15          6421.0270         KrI    
   30          6456.2889         KrI    
   50          6570.07           KrII   
   10          6699.2296         KrI    
   15          6904.6788         KrI    
   80          7213.13           KrII   
   15          7224.104          KrI    
   13          7287.258          KrI    
  130          7289.78           KrII   
  130          7407.02           KrII   
   10          7425.541          KrI    
   70          7435.78           KrII   
   15          7486.862          KrI    
  100          7524.46           KrII   
  150          7587.4136         KrI    
  300          7601.5457         KrI    
   50          7641.16           KrII   
  150          7685.2459         KrI    
  200          7694.5401         KrI    
   80          7735.69           KrII   
   25          7746.827          KrI    
  130          7854.8234         KrI    
   30          7913.4251         KrI    
   30          7928.5988         KrI    
   70          7933.22           KrII   
   40          7973.62           KrII   
   15          7982.401          KrI    
  250          8059.5048         KrI    
  700          8104.3655         KrI    
 1000          8112.9012         KrI    
   10          8132.967          KrI    
  500          8190.0566         KrI    
   70          8202.72           KrII   
   13          8218.365          KrI    
  500          8263.2426         KrI    
   15          8272.353          KrI    
  250          8281.0522         KrI    
  800          8298.1099         KrI    
   15          8412.430          KrI    
  500          8508.8728         KrI    
   25          8764.110          KrI    
 1000          8776.7505         KrI    
  300          8928.6934         KrI    
  150          9238.48           KrII   
  150    ,l    9293.82           KrII   
   70          9320.99           KrII   
  100          9361.95           KrII   
   15          9362.082          KrI    
   70          9402.82           KrII   
   70          9470.93           KrII   
  150          9577.52           KrII   
  150          9605.80           KrII   
  130          9619.61           KrII   
   70          9663.34           KrII   
   70          9711.60           KrII   
  300          9751.7610         KrI    
  150          9803.14           KrII   
   80          9856.314          KrI    
  300         10221.46           KrII   
   15         11187.108          KrI    
   30         11257.711          KrI    
   25         11259.126          KrI    
   80         11457.481          KrI    
   25         11792.425          KrI    
  250         11819.377          KrI    
  100         11997.105          KrI    
   25         12077.224          KrI    
   15         12861.892          KrI    
  200         13177.412          KrI    
  150         13622.415          KrI    
  400         13634.220          KrI    
  130         13658.394          KrI    
   30         13711.036          KrI    
  100         13738.851          KrI    
   25         13974.027          KrI    
   90         14045.657          KrI    
   25         14104.298          KrI    
   30         14402.22           KrI    
  300         14426.793          KrI    
   15         14517.84           KrI    
  250         14734.436          KrI    
   90         14762.672          KrI    
   80         14765.472          KrI    
   70         14961.894          KrI    
   20         15005.307          KrI    
   25         15209.526          KrI    
  300         15239.615          KrI    
   20         15326.480          KrI    
  250         15334.958          KrI    
  120         15372.037          KrI    
   30         15474.026          KrI    
   30         15681.02           KrI    
   20         15820.09           KrI    
   30         16726.513          KrI    
  300         16785.128          KrI    
  150         16853.488          KrI    
  400         16890.441          KrI    
  250         16896.753          KrI    
  300         16935.806          KrI    
  100         17098.771          KrI    
  120         17367.606          KrI    
   20         17404.443          KrI    
   25         17616.854          KrI    
  110         17842.737          KrI    
  120         18002.229          KrI    
  400         18167.315          KrI    
   15         18399.786          KrI    
   25         18580.896          KrI    
   50         18696.294          KrI    
   30         18785.460          KrI    
   30         18797.703          KrI    
   25         20209.878          KrI    
   50         20423.964          KrI    
   25         20446.971          KrI    
  100         21165.471          KrI    
  300         21902.513          KrI    
   20         22485.775          KrI    
   30         23340.416          KrI    
   20         24260.506          KrI    
   30         24292.221          KrI    
  100         25233.820          KrI    
   30         28610.55           KrI    
  150         28655.72           KrI    
   25         28769.71           KrI    
   25         28822.49           KrI    
   50         29236.69           KrI    
   50         30663.54           KrI    
   50         30979.16           KrI    
   80         39300.6            KrI    
  200         39486.52           KrI    
   40         39557.25           KrI    
   15         39572.60           KrI    
  250         39588.4            KrI    
  200         39589.6            KrI    
   80         39954.8            KrI    
   50         39966.6            KrI    
  200         40306.1            KrI    
   40         40685.16           KrI    
