Intensity     Wavelength         Spectrum
   90           352.9549         NeII   
   60           354.9620         NeII   
   90           361.4321         NeII   
   60           362.4544         NeII   
  150           405.8538         NeII   
  120           407.1377         NeII   
  200           445.0393         NeII   
  300           446.2552         NeII   
  250           446.5902         NeII   
  200           447.8146         NeII   
  150           454.6540         NeII   
  200           455.2730         NeII   
   10           456.2728         NeII   
  120           456.3485         NeII   
   90           456.8962         NeII   
 1000           460.7284         NeII   
  500           462.3908         NeII   
   30           587.2127         NeI    
   30           587.1792         NeI    
   30           589.9114         NeI    
   70           591.8306         NeI    
  100           595.9200         NeI    
   70           598.7056         NeI    
   30           598.8897         NeI    
   70           600.0365         NeI    
  130           602.7263         NeI    
  170           615.6283         NeI    
  170           618.6716         NeI    
  130           619.1023         NeI    
  200           626.8232         NeI    
  200           629.7388         NeI    
 1000           735.8962         NeI    
  400           743.7195         NeI    
   60           993.8825         NeII   
   70          1068.6488         NeII   
   90          1131.7224         NeII   
  100          1131.8490         NeII   
   90          1229.8367         NeII   
   90          1418.3779         NeII   
   90          1428.5822         NeII   
   90          1436.0813         NeII   
  120          1681.6840         NeII   
  200          1688.3553         NeII   
  100          1888.1064         NeII   
  100          1889.7120         NeII   
  200          1907.4940         NeII   
  500          1916.0818         NeII   
  300          1930.0345         NeII   
  200          1938.8269         NeII   
  100          1945.4521         NeII   
   80          2007.009          NeII   
   80          2025.560          NeII   
  150          2085.466          NeII   
  200          2096.106          NeII   
  120          2096.248          NeII   
   80          2562.123          NeII   
   90          2567.121          NeII   
   80          2623.107          NeII   
   80          2629.885          NeII   
   90          2636.069          NeII   
   80          2638.289          NeII   
   80          2644.097          NeII   
   80          2762.921          NeII   
   90          2792.019          NeII   
   80          2794.221          NeII   
  100          2809.485          NeII   
   80          2906.592          NeII   
   80          2906.816          NeII   
   90          2910.061          NeII   
   90          2910.408          NeII   
   80          2911.138          NeII   
   80          2915.122          NeII   
   80          2925.618          NeII   
   80          2932.103          NeII   
   80          2940.653          NeII   
   90          2946.044          NeII   
  150          2955.725          NeII   
  150          2963.236          NeII   
  150          2967.184          NeII   
  100          2972.997          NeII   
   30          2974.7189         NeI    
  100          2979.461          NeII   
   30          2982.6696         NeI    
  150          3001.668          NeII   
  120          3017.311          NeII   
  300          3027.016          NeII   
  300          3028.864          NeII   
  100          3030.787          NeII   
  120          3034.461          NeII   
  100          3035.923          NeII   
  100          3037.720          NeII   
  100          3039.586          NeII   
  100          3044.088          NeII   
  100          3045.556          NeII   
  120          3047.556          NeII   
  100          3054.345          NeII   
  100          3054.677          NeII   
   30          3057.3907         NeI    
  100          3059.106          NeII   
  100          3062.491          NeII   
  100          3063.301          NeII   
  100          3070.887          NeII   
  100          3071.529          NeII   
  100          3075.731          NeII   
  120          3088.166          NeII   
  100          3092.092          NeII   
  120          3092.901          NeII   
  100          3094.006          NeII   
  100          3095.103          NeII   
  100          3097.131          NeII   
  100          3117.980          NeII   
  120          3118.160          NeII   
  300          3141.332          NeII   
  100          3143.721          NeII   
  100          3148.681          NeII   
  100          3164.429          NeII   
  100          3165.648          NeII   
  100          3188.743          NeII   
  120          3194.579          NeII   
  500          3198.586          NeII   
   60          3208.965          NeII   
  120          3209.356          NeII   
  120          3213.735          NeII   
  150          3214.329          NeII   
  150          3218.193          NeII   
  120          3224.818          NeII   
  120          3229.573          NeII   
  200          3230.070          NeII   
  120          3230.419          NeII   
  120          3232.022          NeII   
  150          3232.372          NeII   
  100          3243.396          NeII   
  100          3244.095          NeII   
  100          3248.345          NeII   
  100          3250.355          NeII   
  150          3297.726          NeII   
