Intensity    Wavelength         Spectrum
  120          740.41           XeII   
  120          803.07           XeII   
  200          880.80           XeII   
  120          885.54           XeII   
  200          925.87           XeII   
   80          935.40           XeII   
  250          972.77           XeII   
  250          976.68           XeII   
  150         1032.44           XeII   
  250         1037.68           XeII   
  400         1041.31           XeII   
  300         1048.27           XeII   
  400         1051.92           XeII   
  700         1074.48           XeII   
  200         1083.86           XeII   
  400         1100.43           XeII   
  200         1158.47           XeII   
   80         1169.63           XeII   
  250         1183.05           XeII   
   25         1192.0376         XeI    
  200         1244.76           XeII   
   25         1250.2091         XeI    
  100         1295.5878         XeI    
   60         1469.6123         XeI    
   70         2864.73           XeII   
   50         2895.22           XeII   
  130         2979.32           XeII   
   30         3017.43           XeII   
  100         3121.87           XeII   
   70         3366.72           XeII   
   30         3461.26           XeII   
    1         3506.74           XeI    
    1         3549.86           XeI    
    1         3554.04           XeI    
    2         3610.32           XeI    
    1         3613.06           XeI    
    1         3633.06           XeI    
    1         3669.91           XeI    
    4         3685.90           XeI    
    4         3693.49           XeI    
   30         3907.91           XeII   
   30         4037.59           XeII   
   70         4057.46           XeII   
   30         4098.89           XeII   
   70         4158.04           XeII   
  300         4180.10           XeII   
  150         4193.15           XeII   
  100         4208.48           XeII   
   30         4209.47           XeII   
  100         4213.72           XeII   
   30         4215.60           XeII   
  100         4223.00           XeII   
  130         4238.25           XeII   
  150         4245.38           XeII   
   30         4251.57           XeII   
  150         4296.40           XeII   
  150         4310.51           XeII   
  300         4330.52           XeII   
   70         4369.20           XeII   
   30         4373.78           XeII   
  150         4393.20           XeII   
  150         4395.77           XeII   
   70         4406.88           XeII   
   50         4416.07           XeII   
  150         4448.13           XeII   
  300         4462.19           XeII   
  150         4480.86           XeII   
   30         4521.86           XeII   
   60         4734.152          XeI    
   15         4792.619          XeI    
   50         4807.02           XeI    
   40         4829.71           XeI    
   30         4843.29           XeI    
  700         4844.33           XeII   
   50         4916.51           XeI    
   50         4923.152          XeI    
   70         4971.71           XeII   
  130         4972.71           XeII   
  100         4988.77           XeII   
   30         4991.17           XeII   
   20         5028.280          XeI    
   70         5044.92           XeII   
  300         5080.62           XeII   
  100         5122.42           XeII   
   30         5125.70           XeII   
   30         5178.82           XeII   
  100         5188.04           XeII   
  130         5191.37           XeII   
   30         5192.10           XeII   
  150         5260.44           XeII   
  150         5261.95           XeII   
